species	island	bill_length_mm	bill_depth_mm	flipper_length_mm	body_mass_g	sex	year
Adelie	Torgersen	39.5	17.4	186	3800	female	2007
Adelie	Torgersen	40.3	18	195	3250	female	2007
Adelie	Torgersen	36.7	19.3	193	3450	female	2007
Adelie	Torgersen	38.9	17.8	181	3625	female	2007
Adelie	Torgersen	41.1	17.6	182	3200	female	2007
Adelie	Torgersen	36.6	17.8	185	3700	female	2007
Adelie	Torgersen	38.7	19	195	3450	female	2007
Adelie	Torgersen	34.4	18.4	184	3325	female	2007
Adelie	Biscoe	37.8	18.3	174	3400	female	2007
Adelie	Biscoe	35.9	19.2	189	3800	female	2007
Adelie	Biscoe	35.3	18.9	187	3800	female	2007
Adelie	Biscoe	40.5	17.9	187	3200	female	2007
Adelie	Biscoe	37.9	18.6	172	3150	female	2007
Adelie	Dream	39.5	16.7	178	3250	female	2007
Adelie	Dream	39.5	17.8	188	3300	female	2007
Adelie	Dream	36.4	17	195	3325	female	2007
Adelie	Dream	42.2	18.5	180	3550	female	2007
Adelie	Dream	37.6	19.3	181	3300	female	2007
Adelie	Dream	36.5	18	182	3150	female	2007
Adelie	Dream	36	18.5	186	3100	female	2007
Adelie	Dream	37	16.9	185	3000	female	2007
Adelie	Dream	36	17.9	190	3450	female	2007
Adelie	Biscoe	39.6	17.7	186	3500	female	2008
Adelie	Biscoe	35	17.9	190	3450	female	2008
Adelie	Biscoe	34.5	18.1	187	2900	female	2008
Adelie	Biscoe	39	17.5	186	3550	female	2008
Adelie	Biscoe	36.5	16.6	181	2850	female	2008
Adelie	Biscoe	35.7	16.9	185	3150	female	2008
Adelie	Biscoe	37.6	17	185	3600	female	2008
Adelie	Biscoe	36.4	17.1	184	2850	female	2008
Adelie	Biscoe	35.5	16.2	195	3350	female	2008
Adelie	Torgersen	35.9	16.6	190	3050	female	2008
Adelie	Torgersen	33.5	19	190	3600	female	2008
Adelie	Torgersen	39.6	17.2	196	3550	female	2008
Adelie	Torgersen	35.5	17.5	190	3700	female	2008
Adelie	Torgersen	40.9	16.8	191	3700	female	2008
Adelie	Torgersen	36.2	16.1	187	3550	female	2008
Adelie	Torgersen	34.6	17.2	189	3200	female	2008
Adelie	Torgersen	36.7	18.8	187	3800	female	2008
Adelie	Dream	37.3	17.8	191	3350	female	2008
Adelie	Dream	36.9	18.6	189	3500	female	2008
Adelie	Dream	38.9	18.8	190	3600	female	2008
Adelie	Dream	35.7	18	202	3550	female	2008
Adelie	Dream	34	17.1	185	3400	female	2008
Adelie	Dream	36.2	17.3	187	3300	female	2008
Adelie	Dream	38.1	18.6	190	3700	female	2008
Adelie	Dream	33.1	16.1	178	2900	female	2008
Adelie	Biscoe	35	17.9	192	3725	female	2009
Adelie	Biscoe	37.7	16	183	3075	female	2009
Adelie	Biscoe	37.9	18.6	193	2925	female	2009
Adelie	Biscoe	38.6	17.2	199	3750	female	2009
Adelie	Biscoe	38.1	17	181	3175	female	2009
Adelie	Biscoe	38.1	16.5	198	3825	female	2009
Adelie	Biscoe	39.7	17.7	193	3200	female	2009
Adelie	Biscoe	39.6	20.7	191	3900	female	2009
Adelie	Torgersen	38.6	17	188	2900	female	2009
Adelie	Torgersen	35.7	17	189	3350	female	2009
Adelie	Torgersen	36.2	17.2	187	3150	female	2009
Adelie	Torgersen	40.2	17	176	3450	female	2009
Adelie	Torgersen	35.2	15.9	186	3050	female	2009
Adelie	Torgersen	38.8	17.6	191	3275	female	2009
Adelie	Torgersen	39	17.1	191	3050	female	2009
Adelie	Torgersen	38.5	17.9	190	3325	female	2009
Adelie	Dream	36.8	18.5	193	3500	female	2009
Adelie	Dream	38.1	17.6	187	3425	female	2009
Adelie	Dream	35.6	17.5	191	3175	female	2009
Adelie	Dream	37	16.5	185	3400	female	2009
Adelie	Dream	40.2	17.1	193	3400	female	2009
Adelie	Dream	32.1	15.5	188	3050	female	2009
Adelie	Dream	37.3	16.8	192	3000	female	2009
Adelie	Dream	36.6	18.4	184	3475	female	2009
Adelie	Dream	36	17.8	195	3450	female	2009
Adelie	Dream	36	17.1	187	3700	female	2009
Gentoo	Biscoe	46.1	13.2	211	4500	female	2007
Gentoo	Biscoe	48.7	14.1	210	4450	female	2007
Gentoo	Biscoe	46.5	13.5	210	4550	female	2007
Gentoo	Biscoe	45.4	14.6	211	4800	female	2007
Gentoo	Biscoe	43.3	13.4	209	4400	female	2007
Gentoo	Biscoe	40.9	13.7	214	4650	female	2007
Gentoo	Biscoe	45.5	13.7	214	4650	female	2007
Gentoo	Biscoe	45.8	14.6	210	4200	female	2007
Gentoo	Biscoe	42	13.5	210	4150	female	2007
Gentoo	Biscoe	46.2	14.5	209	4800	female	2007
Gentoo	Biscoe	45.1	14.5	215	5000	female	2007
Gentoo	Biscoe	46.5	14.5	213	4400	female	2007
Gentoo	Biscoe	42.9	13.1	215	5000	female	2007
Gentoo	Biscoe	48.2	14.3	210	4600	female	2007
Gentoo	Biscoe	42.8	14.2	209	4700	female	2007
Gentoo	Biscoe	45.1	14.5	207	5050	female	2007
Gentoo	Biscoe	49.1	14.8	220	5150	female	2008
Gentoo	Biscoe	42.6	13.7	213	4950	female	2008
Gentoo	Biscoe	44	13.6	208	4350	female	2008
Gentoo	Biscoe	42.7	13.7	208	3950	female	2008
Gentoo	Biscoe	45.3	13.7	210	4300	female	2008
Gentoo	Biscoe	43.6	13.9	217	4900	female	2008
Gentoo	Biscoe	45.5	13.9	210	4200	female	2008
Gentoo	Biscoe	44.9	13.3	213	5100	female	2008
Gentoo	Biscoe	46.6	14.2	210	4850	female	2008
Gentoo	Biscoe	45.1	14.4	210	4400	female	2008
Gentoo	Biscoe	46.5	14.4	217	4900	female	2008
Gentoo	Biscoe	43.8	13.9	208	4300	female	2008
Gentoo	Biscoe	43.2	14.5	208	4450	female	2008
Gentoo	Biscoe	45.3	13.8	208	4200	female	2008
Gentoo	Biscoe	45.7	13.9	214	4400	female	2008
Gentoo	Biscoe	45.8	14.2	219	4700	female	2008
Gentoo	Biscoe	43.5	14.2	220	4700	female	2008
Gentoo	Biscoe	47.7	15	216	4750	female	2008
Gentoo	Biscoe	46.5	14.8	217	5200	female	2008
Gentoo	Biscoe	46.4	15	216	4700	female	2008
Gentoo	Biscoe	47.5	14.2	209	4600	female	2008
Gentoo	Biscoe	45.2	13.8	215	4750	female	2008
Gentoo	Biscoe	49.1	14.5	212	4625	female	2009
Gentoo	Biscoe	47.4	14.6	212	4725	female	2009
Gentoo	Biscoe	44.9	13.8	212	4750	female	2009
Gentoo	Biscoe	43.4	14.4	218	4600	female	2009
Gentoo	Biscoe	47.5	14	212	4875	female	2009
Gentoo	Biscoe	47.5	15	218	4950	female	2009
Gentoo	Biscoe	45.5	14.5	212	4750	female	2009
Gentoo	Biscoe	44.5	14.7	214	4850	female	2009
Gentoo	Biscoe	46.9	14.6	222	4875	female	2009
Gentoo	Biscoe	48.4	14.4	203	4625	female	2009
Gentoo	Biscoe	48.5	15	219	4850	female	2009
